building_address,clue_small_area,parking_type,parking_spaces,longitude,latitude,location,street_address,suburb,postcode
National Tennis Centre Melbourne Park 55 Olympic Boulevard MELBOURNE VIC 3004,Melbourne (Remainder),Commercial,909,144.97903846552452,-37.8213403937,"-37.8213403937, 144.97903846552452",National Tennis Centre Melbourne Park 55 Olympic Boulevard,MELBOURNE,3004
127-129 Kavanagh Street SOUTHBANK VIC 3006,Southbank,Commercial,60,144.96202856798214,-37.8266002264,"-37.8266002264, 144.96202856798214",127-129 Kavanagh Street,SOUTHBANK,3006
517 St Kilda Road MELBOURNE VIC 3004,Melbourne (Remainder),Commercial,8,144.97928845221116,-37.844592578450005,"-37.844592578450005, 144.97928845221116",517 St Kilda Road,MELBOURNE,3004
Melbourne Exhibition Centre 2 Clarendon Street SOUTH WHARF VIC 3006,Southbank,Commercial,1696,144.95231929429832,-37.8254299844,"-37.8254299844, 144.95231929429832",Melbourne Exhibition Centre 2 Clarendon Street SOUTH,WHARF,3006
112-168 Normanby Road SOUTH WHARF VIC 3006,Southbank,Commercial,688,144.94993759230016,-37.8268072741,"-37.8268072741, 144.94993759230016",112-168 Normanby Road SOUTH,WHARF,3006
The District Docklands East Car Park 50-94 Waterfront Way DOCKLANDS VIC 3008,Docklands,Commercial,2236,144.93944446094207,-37.81215074975,"-37.81215074975, 144.93944446094207",The District Docklands East Car Park 50-94 Waterfront Way,DOCKLANDS,3008
Carpark Federation Square 2 Swanston Street MELBOURNE VIC 3000,Melbourne (CBD),Commercial,450,144.96994164279243,-37.817777826050005,"-37.817777826050005, 144.96994164279243",Carpark Federation Square 2 Swanston Street,MELBOURNE,3000
472-482 Flinders Street MELBOURNE VIC 3000,Melbourne (CBD),Commercial,330,144.95827113270002,-37.819727590225824,"-37.819727590225824, 144.95827113270002",472-482 Flinders Street,MELBOURNE,3000
16-26 Bond Street MELBOURNE VIC 3000,Melbourne (CBD),Commercial,461,144.9630578698032,-37.81814585805,"-37.81814585805, 144.9630578698032",16-26 Bond Street,MELBOURNE,3000
388-394 Flinders Lane MELBOURNE VIC 3000,Melbourne (CBD),Commercial,38,144.96105818865,-37.81799063633014,"-37.81799063633014, 144.96105818865",388-394 Flinders Lane,MELBOURNE,3000
